Date,Close,High,Low,Open,Volume,VIX
2022-01-03,454.4668884277344,454.6000906272862,450.79471166049126,453.12548885801067,72668200,16.600000381469727
2022-01-04,454.3146667480469,456.62645651980097,452.44051645811953,455.9034252304674,71178700,16.90999984741211
2022-01-05,445.5907897949219,454.7237037901977,445.49564952807594,453.9435942478878,104538900,19.729999542236328
2022-01-06,445.1722412109375,447.9121185919926,442.78435672362116,445.12468558903515,86858900,19.610000610351562
2022-01-07,443.4122619628906,446.37095917182285,442.0423232283267,445.18177825867616,85111600,18.760000228881836
2022-01-10,442.8605041503906,443.0792948620805,434.3840189384609,440.1872277237747,119362000,19.399999618530273
2022-01-11,446.8941955566406,446.9893358380272,439.56882938093537,442.59412774569915,74303100,18.40999984741211
2022-01-12,448.1023864746094,450.17634006108017,446.1236022008908,448.6446599412308,67605400,17.6200008392334
2022-01-13,441.92816162109375,449.87189583965556,440.8911993602203,449.2154656602354,91173100,20.309999465942383
2022-01-14,442.10894775390625,442.46094067761123,437.5234589419788,438.750701838542,95890900,19.190000534057617
2022-01-18,434.27935791015625,437.58052537124496,433.15677806713745,437.3712283638399,109709100,22.790000915527344
2022-01-19,429.7699890136719,437.24754478166,429.4940909081601,435.83957313850533,109357600,23.850000381469727
2022-01-20,425.0132751464844,436.41988962546833,422.8727494182704,431.67268852315004,122379700,25.59000015258789
2022-01-21,416.6700134277344,426.2595564092939,416.64147424453216,423.88119436664385,202271200,28.850000381469727
2022-01-24,418.439453125,418.9531873967836,400.2878088602572,411.0094532738382,251783900,29.899999618530273
2022-01-25,413.3307800292969,418.325340272943,406.3669290645842,411.989380365646,167997300,31.15999984741211
2022-01-26,412.29376220703125,422.43509998328665,407.9936656709849,419.2766286767316,186391100,31.959999084472656
2022-01-27,410.2579040527344,420.10432810226087,408.5550178398871,416.93636283327237,149878300,30.489999771118164
2022-01-28,420.4468078613281,420.49436348392175,407.0043024105975,411.62782378377955,164457400,27.65999984741211
2022-01-31,428.0195007324219,428.3714936288745,418.410913382433,419.77132934597444,152251400,24.829999923706055
2022-02-01,430.9115905761719,431.55849799995866,425.19399967720074,428.7520195407641,123155400,21.959999084472656
2022-02-02,435.0975036621094,435.83002862816363,431.00670403894975,433.33751016335094,117361000,22.09000015258789
2022-02-03,424.87054443359375,430.93060546469786,424.02383372363494,429.0088996423524,118024400,24.350000381469727
2022-02-04,426.8683776855469,430.7498512797091,422.2353046179218,424.63271183828147,118454400,23.219999313354492
2022-02-07,425.49847412109375,429.04697155726353,424.1570745020062,427.63899986868773,84472900,22.860000610351562
2022-02-08,428.9993591308594,429.93168734037675,423.55766656727224,424.9942062803766,81012000,21.440000534057617
2022-02-09,435.2783203125,435.60177406977925,432.87141906129085,433.07119334581097,92589900,19.959999084472656
2022-02-10,427.45819091796875,435.4399575429741,425.4413448777834,429.3798966853135,140103700,23.90999984741211
2022-02-11,419.0293273925781,429.6368162304189,417.58329373140737,427.5438750655196,153214600,27.360000610351562
2022-02-14,417.65936279296875,420.11384851276483,414.15842107160734,418.5155962964135,123006300,28.329999923706055
2022-02-15,424.39483642578125,424.5660714877648,421.6168973895355,422.1401543447967,88482700,25.700000762939453
2022-02-16,424.87054443359375,426.2594995520665,420.43727469350324,422.33044133645325,84863600,24.290000915527344
2022-02-17,415.7947692871094,424.84206791545404,415.18592369262683,421.65505692679693,102259100,28.110000610351562
